rep,size,num_streams,block_size,section,dur
15,1024,1,32,total,6.748800e-05
15,1024,1,64,total,6.428800e-05
15,1024,1,128,total,6.524800e-05
15,1024,1,256,total,6.486401e-05
15,1024,1,512,total,6.409600e-05
15,1024,1,1024,total,6.374400e-05
15,1024,2,32,total,7.920000e-05
15,1024,2,64,total,7.980800e-05
15,1024,2,128,total,7.971200e-05
15,1024,2,256,total,8.041600e-05
15,1024,2,512,total,7.840000e-05
15,1024,2,1024,total,7.856000e-05
15,1024,4,32,total,1.098240e-04
15,1024,4,64,total,1.126400e-04
15,1024,4,128,total,1.096960e-04
15,1024,4,256,total,1.095040e-04
15,1024,4,512,total,1.087040e-04
15,1024,4,1024,total,1.067200e-04
15,1024,8,32,total,1.658880e-04
15,1024,8,64,total,1.925120e-04
15,1024,8,128,total,1.666560e-04
15,1024,8,256,total,1.679040e-04
15,1024,8,512,total,1.662400e-04
15,1024,8,1024,total,1.648640e-04
15,1024,16,32,total,2.839040e-04
15,1024,16,64,total,2.846080e-04
15,1024,16,128,total,2.833920e-04
15,1024,16,256,total,2.826240e-04
15,1024,16,512,total,2.830400e-04
15,1024,16,1024,total,3.273280e-04
15,1024,32,32,total,5.201920e-04
15,1024,32,64,total,5.210880e-04
15,1024,32,128,total,5.205760e-04
15,1024,32,256,total,5.464960e-04
15,1024,32,512,total,5.239680e-04
15,1024,32,1024,total,5.230720e-04
15,1024,64,32,total,1.028384e-03
15,1024,64,64,total,1.005248e-03
15,1024,64,128,total,1.015840e-03
15,1024,64,256,total,1.015360e-03
15,1024,64,512,total,1.005568e-03
15,1024,64,1024,total,1.000640e-03
0,16384,1,32,total,7.504000e-05
0,16384,1,64,total,6.921600e-05
0,16384,1,128,total,6.553600e-05
0,16384,1,256,total,6.531200e-05
0,16384,1,512,total,6.560000e-05
0,16384,1,1024,total,6.486401e-05
0,16384,2,32,total,7.862401e-05
0,16384,2,64,total,8.064001e-05
0,16384,2,128,total,7.987200e-05
0,16384,2,256,total,7.987200e-05
0,16384,2,512,total,8.022400e-05
0,16384,2,1024,total,8.863999e-05
0,16384,4,32,total,1.105280e-04
0,16384,4,64,total,1.105920e-04
0,16384,4,128,total,1.101760e-04
0,16384,4,256,total,1.093120e-04
0,16384,4,512,total,1.087360e-04
0,16384,4,1024,total,1.085440e-04
0,16384,8,32,total,1.682560e-04
0,16384,8,64,total,1.914560e-04
0,16384,8,128,total,1.658880e-04
0,16384,8,256,total,1.658880e-04
0,16384,8,512,total,1.672960e-04
0,16384,8,1024,total,1.672000e-04
0,16384,16,32,total,2.829760e-04
0,16384,16,64,total,2.805760e-04
0,16384,16,128,total,2.846720e-04
0,16384,16,256,total,2.826240e-04
0,16384,16,512,total,3.010240e-04
0,16384,16,1024,total,3.092480e-04
