rep,algo,x,y,section,dur
15,stock,8,8,total,6.625088e-03
15,stock,8,8,kernel,2.549760e-04
15,v1,8,8,total,1.967424e-03
15,v1,8,8,kernel,4.392960e-04
15,stock,8,16,total,5.778912e-03
15,stock,8,16,kernel,2.529280e-04
15,v1,8,16,total,1.970176e-03
15,v1,8,16,kernel,4.413120e-04
15,stock,16,16,total,2.035200e-03
15,stock,16,16,kernel,2.508800e-04
15,v1,16,16,total,1.986880e-03
15,v1,16,16,kernel,4.351680e-04
15,stock,24,24,total,4.822848e-03
15,stock,24,24,kernel,2.631680e-04
15,v1,24,24,total,1.982912e-03
15,v1,24,24,kernel,4.382720e-04
15,stock,16,32,total,2.143872e-03
15,stock,16,32,kernel,2.519040e-04
15,v1,16,32,total,1.944032e-03
15,v1,16,32,kernel,4.290560e-04
15,stock,32,32,total,2.022912e-03
15,stock,32,32,kernel,2.641920e-04
15,v1,32,32,total,4.619200e-03
15,v1,32,32,kernel,4.280320e-04
16,cpu,,,total,2.282433e-01
16,stock,8,4,total,2.022336e-03
16,stock,8,4,kernel,2.570240e-04
16,v1,8,4,total,1.978784e-03
16,v1,8,4,kernel,4.382720e-04
16,stock,8,8,total,2.001632e-03
16,stock,8,8,kernel,2.529280e-04
16,v1,8,8,total,1.968064e-03
16,v1,8,8,kernel,4.403200e-04
16,stock,8,16,total,2.022720e-03
16,stock,8,16,kernel,2.529280e-04
16,v1,8,16,total,3.432672e-03
16,v1,8,16,kernel,4.372480e-04
16,stock,16,16,total,2.014784e-03
16,stock,16,16,kernel,2.508480e-04
16,v1,16,16,total,1.950176e-03
16,v1,16,16,kernel,4.331520e-04
16,stock,24,24,total,2.728448e-03
16,stock,24,24,kernel,2.662400e-04
16,v1,24,24,total,1.968704e-03
16,v1,24,24,kernel,4.382720e-04
16,stock,16,32,total,3.697760e-03
16,stock,16,32,kernel,2.519040e-04
16,v1,16,32,total,1.962912e-03
16,v1,16,32,kernel,4.300800e-04
16,stock,32,32,total,4.233056e-03
16,stock,32,32,kernel,2.641920e-04
16,v1,32,32,total,1.969760e-03
16,v1,32,32,kernel,4.280320e-04
17,cpu,,,total,2.293653e-01
17,stock,8,4,total,2.028928e-03
17,stock,8,4,kernel,2.570240e-04
17,v1,8,4,total,1.959488e-03
17,v1,8,4,kernel,4.361920e-04
17,stock,8,8,total,2.049504e-03
17,stock,8,8,kernel,2.529280e-04
17,v1,8,8,total,6.428928e-03
17,v1,8,8,kernel,4.382720e-04
17,stock,8,16,total,2.031584e-03
17,stock,8,16,kernel,2.519040e-04
17,v1,8,16,total,4.298528e-03
17,v1,8,16,kernel,4.382720e-04
17,stock,16,16,total,2.052768e-03
17,stock,16,16,kernel,2.488320e-04
17,v1,16,16,total,2.035808e-03
17,v1,16,16,kernel,4.321280e-04
17,stock,24,24,total,2.013792e-03
17,stock,24,24,kernel,2.641920e-04
17,v1,24,24,total,1.972672e-03
17,v1,24,24,kernel,4.382720e-04
17,stock,16,32,total,3.603296e-03
17,stock,16,32,kernel,2.508800e-04
17,v1,16,32,total,1.988352e-03
17,v1,16,32,kernel,4.290560e-04
17,stock,32,32,total,2.067328e-03
17,stock,32,32,kernel,2.631680e-04
17,v1,32,32,total,3.901024e-03
17,v1,32,32,kernel,4.280320e-04
18,cpu,,,total,2.293049e-01
18,stock,8,4,total,2.079904e-03
18,stock,8,4,kernel,2.560000e-04
18,v1,8,4,total,1.989824e-03
18,v1,8,4,kernel,4.372480e-04
18,stock,8,8,total,3.901440e-03
18,stock,8,8,kernel,2.539520e-04
18,v1,8,8,total,4.292352e-03
18,v1,8,8,kernel,4.392960e-04
18,stock,8,16,total,2.081888e-03
18,stock,8,16,kernel,2.519040e-04
18,v1,8,16,total,1.974368e-03
